,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
150,Niederhasli,47.4657,8.4988,Blumen Eberhard,47.46764661986641,8.493761268145484,Flower Shop
151,Niederhasli,47.4657,8.4988,"Oberhasli, Hasliberg",47.468721,8.503177,Bus Station
152,Niederglatt,47.4907,8.4999,Löwen,47.49135,8.50348,Swiss Restaurant
153,Niederglatt,47.4907,8.4999,Bäckerei Fleischli,47.489196409919366,8.50357716303655,Bakery
154,Niederglatt,47.4907,8.4999,TopPharm Sonnen Apotheke & Drogerie,47.49170497724425,8.504088407723735,Pharmacy
155,Niederglatt,47.4907,8.4999,Da Vinci,47.49359068911697,8.497440797953784,Italian Restaurant
156,Niederglatt,47.4907,8.4999,Bahnhof Niederglatt,47.48760204131989,8.503464769007994,Train Station
157,Neftenbach,47.5276,8.6649,Restaurant Rebe,47.527899,8.667439,Swiss Restaurant
158,Neerach,47.511,8.471,Fleischli,47.511813770557794,8.477539188712647,Bakery
159,Neerach,47.511,8.471,SMITH ART FOTOSTUDIO,47.509131,8.47528,Photography Studio
160,Neerach,47.511,8.471,Restaurant Riedpark,47.51381550387353,8.466905413637217,Italian Restaurant
161,Neerach,47.511,8.471,Pizzeria Riedpark,47.511525245322545,8.477510346358743,Pizza Place
162,Mönchaltorf,47.3096,8.7203,Ochsen Mönchaltdorf,47.310653933775995,8.720729121443979,Swiss Restaurant
163,Mönchaltorf,47.3096,8.7203,Mönchhof,47.310633055043496,8.7208621574796,Shopping Mall
164,Mönchaltorf,47.3096,8.7203,Müller & Jussel AG - BMW Motorrad Mönchaltorf,47.31067836151275,8.720663207654392,Motorcycle Shop
165,Mönchaltorf,47.3096,8.7203,Bio MILCHAUTOMAT 24H,47.31062077209085,8.72078336671012,Farmers Market
166,Mönchaltorf,47.3096,8.7203,Restaurant zur Mühle,47.310701117794125,8.720757722036373,Restaurant
167,Männedorf,47.2569,8.6989,Badi Hasenacker Männedorf,47.255558,8.700934,Pool
168,Männedorf,47.2569,8.6989,Hafen Männedorf,47.254358,8.69898,Boat or Ferry
169,Männedorf,47.2569,8.6989,Hirschbar,47.254457510097915,8.696008721927493,Bar
170,Männedorf,47.2569,8.6989,Volg,47.256889,8.704033,Food & Drink Shop
171,Männedorf,47.2569,8.6989,Esprit,47.253547453421696,8.697218024892882,Women's Store
172,Männedorf,47.2569,8.6989,Bushaltestelle Glärnischstrasse,47.25345956378445,8.702054179111684,Bus Stop
173,Mettmenstetten,47.2453,8.4635,Steakhouse Bahnhof,47.24421157471289,8.457767399123753,Restaurant
174,Mettmenstetten,47.2453,8.4635,Weisses Rössli,47.24369959847514,8.46307589475426,Swiss Restaurant
175,Mettmenstetten,47.2453,8.4635,Bahnhof Mettmenstetten,47.24399834812269,8.457266806293072,Train Station
176,Mettmenstetten,47.2453,8.4635,Spar,47.243829678412446,8.461150113527092,Grocery Store
177,Meilen,47.2723,8.6462,Bahnhof Meilen,47.269729417905275,8.644201755523682,Train Station
178,Meilen,47.2723,8.6462,Napulé,47.270039399031496,8.641845541163251,Pizza Place
179,Meilen,47.2723,8.6462,Migros,47.26819078358748,8.645350762365569,Grocery Store
180,Meilen,47.2723,8.6462,Sportplatz Allmend,47.27294821367922,8.649105667408959,Soccer Field
181,Meilen,47.2723,8.6462,Kiosk,47.26961095976248,8.644528235217775,Miscellaneous Shop
182,Meilen,47.2723,8.6462,Volg,47.27015983590524,8.64297996417831,Grocery Store
183,Meilen,47.2723,8.6462,Steiner,47.27041168199958,8.642414078994381,Bakery
184,Maur,47.3563,8.6266,Wirtshaus zur Trotte,47.356258866488425,8.62893432967012,Swiss Restaurant
185,Maur,47.3563,8.6266,Fechtsport Müller,47.355498632674376,8.628602027893066,Sporting Goods Shop
186,Maur,47.3563,8.6266,"Vicos Welt, die Hundedesigner",47.35752,8.62449,Pet Store
187,Maur,47.3563,8.6266,GGA Maur,47.3564886767417,8.63018796779215,IT Services
188,Stadel,47.5294,8.4635,Denner,47.528976,8.4647,Discount Store
189,Stadel,47.5294,8.4635,Pöstli,47.52803105413992,8.467055833882705,Restaurant
190,Stadel,47.5294,8.4635,Brauerei,47.52666306175189,8.468728662058012,Swiss Restaurant
191,Stallikon,47.3258,8.4897,Restaurant Schwarzer Hecht,47.32582070594183,8.489803977408062,Italian Restaurant
192,Stallikon,47.3258,8.4897,MAVOROKEY,47.3233989,8.4910605,Locksmith
193,Stammheim,47.622,8.7782,Carmine Sileno,47.62061,8.777699,Gourmet Shop
194,Stammheim,47.622,8.7782,Schloss Waltingen,47.623407,8.7767,Swiss Restaurant
195,Maschwanden,47.2343,8.4271,"Maschwanden, Dorf",47.23439861606079,8.425612846463371,Bus Station
196,Maschwanden,47.2343,8.4271,Strebel GmbH,47.23494,8.43182,Construction & Landscaping
197,Marthalen,47.6291,8.6533,Blumen Vergissmeinnicht,47.625779,8.649124,Flower Shop
